0.4900280023800000E+13  0.1738000000000000E+07  http://pds-geosciences.wustl.edu/Lunar/lp-l-rss-5-glgm3_gravity-v1/lp_1201/data/shadr/
    2     0 -0.9089014554764100E-04  0.0000000000000000E+00
    2     1 -0.2962035731046400E-07 -0.2771462551124100E-07
    2     2  0.3463209197454500E-04  0.2378299746518700E-07
    3     0 -0.3244959502940100E-05  0.0000000000000000E+00
    3     1  0.2638546585791100E-04  0.5511502702316700E-05
    3     2  0.1419184496886400E-04  0.4945406443569900E-05
    3     3  0.1228156262628300E-04 -0.1839431703060400E-05
    4     0  0.3286677705377900E-05  0.0000000000000000E+00
    4     1 -0.5978220671973900E-05  0.1732150239313400E-05
    4     2 -0.7150750504858500E-05 -0.6926698842099400E-05
    4     3 -0.1359494330276600E-05 -0.1353788982144300E-04
    4     4 -0.6001625509050200E-05  0.4019687004212900E-05
    5     0 -0.2530738911215300E-06  0.0000000000000000E+00
    5     1 -0.1144612699865300E-05 -0.4213481706608200E-05
    5     2  0.4419087743695900E-05  0.9333325566302101E-06
    5     3  0.5473673005577500E-06  0.8930776630434000E-05
    5     4  0.2743189537870700E-05  0.1745584469860900E-06
    5     5  0.3046957935643200E-05 -0.2875372709837300E-05
    6     0  0.3691944768754000E-05  0.0000000000000000E+00
    6     1  0.1642643420624700E-05 -0.2646496693247800E-05
    6     2 -0.4232774628189900E-05 -0.2046456661732500E-05
    6     3 -0.3372816617059400E-05 -0.3307713002686400E-05
    6     4  0.1689057613895000E-06 -0.4346605277014900E-05
    6     5  0.1433698728745400E-05 -0.1044092629689900E-04
    6     6 -0.4560225735262300E-05  0.7368941270839600E-05
    7     0  0.5694973689713100E-05  0.0000000000000000E+00
    7     1  0.7586528721898500E-05 -0.1767726915599300E-06
    7     2 -0.7755759766543001E-06  0.2381876303361500E-05
    7     3  0.4161140224749300E-06  0.2289895669948200E-05
    7     4 -0.8552059986526700E-06  0.7092974845761500E-06
    7     5  0.9966363903880399E-07  0.1400394073057100E-05
    7     6 -0.9627453887634200E-06  0.1209220047845800E-05
    7     7 -0.1989445029122800E-05 -0.1750367372589200E-05
    8     0  0.2288257506391400E-05  0.0000000000000000E+00
    8     1 -0.6894210225220001E-07  0.1004944467192400E-05
    8     2  0.3001644547434300E-05  0.2157063312841000E-05
    8     3 -0.1878160722937500E-05  0.1150315952768900E-05
    8     4  0.3633517193422200E-05 -0.5259209533612100E-06
    8     5 -0.1053987459093800E-05  0.2881649739617300E-05
    8     6 -0.2091722932499600E-05 -0.2502129410501800E-05
    8     7 -0.1734174996291900E-05  0.3112286922494400E-05
    8     8 -0.2320600611591000E-05  0.2276247017628000E-05
    9     0 -0.3468664994639200E-05  0.0000000000000000E+00
    9     1  0.2113953570939600E-05  0.2522720492003800E-06
    9     2  0.1855937542824100E-05 -0.1158782622053600E-05
    9     3 -0.2063233769007700E-05  0.1840989917961400E-05
    9     4 -0.1695600209506000E-05 -0.1793917954628900E-05
    9     5 -0.1813529529608200E-05 -0.3537263087161500E-05
    9     6 -0.2599316052501300E-05 -0.2910556453111600E-05
    9     7 -0.3467338003081700E-05  0.3564902855632800E-06
    9     8 -0.9602593339215800E-06 -0.1950790246976400E-05
    9     9 -0.1032915754835700E-05  0.2337576562909200E-05
   10     0 -0.8431875544738700E-06  0.0000000000000000E+00
   10     1  0.6177880677557000E-06 -0.8928974641770800E-06
   10     2  0.7837813395502201E-07 -0.4652172849564400E-06
   10     3  0.6521969128556000E-06  0.4070343943914400E-06
   10     4 -0.3429879408196500E-05  0.1931350665498200E-05
   10     5  0.3111767486794300E-06  0.1867004167777200E-06
   10     6  0.5080281638416900E-07 -0.1983544468999600E-05
   10     7 -0.3232749212266300E-05 -0.1009771435394800E-05
   10     8 -0.3831680200961700E-05  0.2340487857767600E-05
   10     9 -0.5183201812456000E-05 -0.4437665759223600E-06
   10    10  0.9152631315727100E-06 -0.1602837490452000E-05
   11     0 -0.1069804618419800E-05  0.0000000000000000E+00
   11     1 -0.1536789261332600E-06  0.6976834388238701E-06
   11     2  0.8857854727652400E-06 -0.1898987470517300E-05
   11     3  0.6742644657672000E-06  0.7546263480477400E-06
