0.4902800238000000E+13  0.1738000000000000E+07  http://pds-geosciences.wustl.edu/Lunar/lp-l-rss-5-glgm3_gravity-v1/lp_1201/data/shadr/
    2     0 -0.9089901172558520E-04  0.0000000000000000E+00
    2     1 -0.1741859193956400E-07 -0.2872220333919100E-07
    2     2  0.3462505020950900E-04  0.2879962749565700E-07
    3     0 -0.3246905071553780E-05  0.0000000000000000E+00
    3     1  0.2638444563436730E-04  0.5525196059903700E-05
    3     2  0.1418696866534590E-04  0.4945567052008290E-05
    3     3  0.1227983732257530E-04 -0.1842348270950110E-05
    4     0  0.3284096224889150E-05  0.0000000000000000E+00
    4     1 -0.5972252082931960E-05  0.1726838693196700E-05
    4     2 -0.7147326868533630E-05 -0.6916356651365700E-05
    4     3 -0.1365399755896850E-05 -0.1354136759859160E-04
    4     4 -0.5996453691429020E-05  0.4020004560054510E-05
    5     0 -0.2560797326701700E-06  0.0000000000000000E+00
    5     1 -0.1143507964746840E-05 -0.4221540643799890E-05
    5     2  0.4421543438968960E-05  0.9403485864157800E-06
    5     3  0.5493176535439800E-06  0.8928314509520730E-05
    5     4  0.2743300183110420E-05  0.1724645211375600E-06
    5     5  0.3048042426809920E-05 -0.2873206678330630E-05
    6     0  0.3686829047708380E-05  0.0000000000000000E+00
    6     1  0.1646417163323860E-05 -0.2646929486751150E-05
    6     2 -0.4232620521298770E-05 -0.2048139588034210E-05
    6     3 -0.3372545760057600E-05 -0.3296051276944900E-05
    6     4  0.1697663699282540E-06 -0.4347010662010200E-05
    6     5  0.1434876049681260E-05 -0.1043848208959540E-04
    6     6 -0.4563251358804140E-05  0.7367968528756710E-05
    7     0  0.5696166750612380E-05  0.0000000000000000E+00
    7     1  0.7587768617704580E-05 -0.1744763377093700E-06
    7     2 -0.7645374380217000E-06  0.2383954913535890E-05
    7     3  0.4164928422873130E-06  0.2291573851135440E-05
    7     4 -0.8514206777126900E-06  0.7084686185208940E-06
    7     5  0.1003372478246200E-06  0.1403629208447380E-05
    7     6 -0.9618151873870701E-06  0.1209117720523170E-05
    7     7 -0.1988506985343220E-05 -0.1751107031117970E-05
    8     0  0.2281422313989670E-05  0.0000000000000000E+00
    8     1 -0.6611832836131000E-07  0.1004052120964940E-05
    8     2  0.3000859053920960E-05  0.2158283454654430E-05
    8     3 -0.1870399461587590E-05  0.1159156434653780E-05
    8     4  0.3635255431715610E-05 -0.5247610963327299E-06
    8     5 -0.1050773288920090E-05  0.2877574710496120E-05
    8     6 -0.2091407170938210E-05 -0.2505425064741800E-05
    8     7 -0.1731700711436380E-05  0.3108822255942540E-05
    8     8 -0.2317747912546280E-05  0.2278164162127270E-05
    9     0 -0.3469761603784340E-05  0.0000000000000000E+00
    9     1  0.2112924479692990E-05  0.2514062534058160E-06
    9     2  0.1864529947217180E-05 -0.1163604153212750E-05
    9     3 -0.2067925658313570E-05  0.1843631815137860E-05
    9     4 -0.1690433045614570E-05 -0.1793717801290290E-05
    9     5 -0.1814285144001890E-05 -0.3533225904510650E-05
    9     6 -0.2596973245525800E-05 -0.2909102941587220E-05
