398600.44150E+09  6378136.30  http://www2.csr.utexas.edu/grace/gravity/ggm02/
  2   0 -4.8416938905481E-04  0.0000000000000E+00
  2   1 -2.0458338184745E-10  1.3968195379551E-09
  2   2  2.4393233001191E-06 -1.4002662003867E-06
  3   0  9.5718508415439E-07  0.0000000000000E+00
  3   1  2.0304752656064E-06  2.4817416903031E-07
  3   2  9.0480066975068E-07 -6.1900441427103E-07
  3   3  7.2128924247650E-07  1.4143556434052E-06
  4   0  5.3999143526074E-07  0.0000000000000E+00
  4   1 -5.3617583789434E-07 -4.7356802287476E-07
  4   2  3.5051159931087E-07  6.6243944849186E-07
  4   3  9.9085503541734E-07 -2.0097529442342E-07
  4   4 -1.8846750474516E-07  3.0882228278756E-07
  5   0  6.8715981001179E-08  0.0000000000000E+00
  5   1 -6.2904051380481E-08 -9.4373263356928E-08
  5   2  6.5210393080303E-07 -3.2334838450788E-07
  5   3 -4.5187965449909E-07 -2.1500140801223E-07
  5   4 -2.9533633996919E-07  4.9817834613976E-08
  5   5  1.7479367861529E-07 -6.6937444851133E-07
  6   0 -1.4994011973125E-07  0.0000000000000E+00
  6   1 -7.5903534713091E-08  2.6516969820404E-08
  6   2  4.8671477410889E-08 -3.7379063632786E-07
  6   3  5.7235251140830E-08  8.9355908317172E-09
  6   4 -8.6024306020762E-08 -4.7142492778928E-07
  6   5 -2.6717044535375E-07 -5.3648870593762E-07
  6   6  9.4667858117668E-09 -2.3740563878695E-07
  7   0  9.0504630229132E-08  0.0000000000000E+00
  7   1  2.8088898145081E-07  9.5119644062781E-08
  7   2  3.3041560746535E-07  9.2985239787248E-08
  7   3  2.5045166263142E-07 -2.1714748211003E-07
  7   4 -2.7498938059553E-07 -1.2406704411494E-07
  7   5  1.6601317328580E-09  1.7933888039325E-08
  7   6 -3.5880775879961E-07  1.5179454735699E-07
  7   7  1.5062884219099E-09  2.4116259277940E-08
  8   0  4.9481334104780E-08  0.0000000000000E+00
  8   1  2.3159979727734E-08  5.8896665124862E-08
  8   2  8.0015152191272E-08  6.5278835020898E-08
  8   3 -1.9378833774969E-08 -8.5977473175173E-08
  8   4 -2.4436744168468E-07  6.9808169573661E-08
  8   5 -2.5695381020603E-08  8.9195503483206E-08
  8   6 -6.5962471839471E-08  3.0894479673499E-07
  8   7  6.7261439849585E-08  7.4875670873080E-08
  8   8 -1.2403873503204E-07  1.2055330686769E-07
  9   0  2.8023188203329E-08  0.0000000000000E+00
  9   1  1.4215021812885E-07  2.1399410624745E-08
  9   2  2.1413308310842E-08 -3.1693757099588E-08
  9   3 -1.6061777555625E-07 -7.4288065727748E-08
  9   4 -9.3744494781812E-09  1.9903426483849E-08
  9   5 -1.6310476153586E-08 -5.4041923229450E-08
  9   6  6.2782214351230E-08  2.2295178138467E-07
  9   7 -1.1797705231858E-07 -9.6928434857123E-08
  9   8  1.8814003080096E-07 -3.0006845470535E-09
  9   9 -4.7556714055660E-08  9.6880058387687E-08
 10   0  5.3320010526550E-08  0.0000000000000E+00
 10   1  8.3764843251410E-08 -1.3109151284691E-07
 10   2 -9.3986202660537E-08 -5.1279822748794E-08
 10   3 -7.0166481788361E-09 -1.5414522056325E-07
 10   4 -8.4472635586329E-08 -7.9031973795022E-08
 10   5 -4.9292034854895E-08 -5.0611717909905E-08
 10   6 -3.7585195034396E-08 -7.9769574266997E-08
 10   7  8.2601322177926E-09 -3.0472813339748E-09
 10   8  4.0596116481898E-08 -9.1718696376024E-08
 10   9  1.2538272379586E-07 -3.7954367789185E-08
 10  10  1.0042456986404E-07 -2.3859595666514E-08
 11   0 -5.0772496297652E-08  0.0000000000000E+00
 11   1  1.5603252740856E-08 -2.7119062596280E-08
 11   2  2.0113610023582E-08 -9.9008467215296E-08
 11   3 -3.0581202091025E-08 -1.4884347611180E-07
 11   4 -3.7952641039471E-08 -6.3769759692111E-08
 11   5  3.7421284143008E-08  4.9590085390006E-08
 11   6 -1.5589638020177E-09  3.4274419785441E-08
 11   7  4.6579602935627E-09 -8.9819491456863E-08
 11   8 -6.3030987247306E-09  2.4544222515068E-08
 11   9 -3.1069260209285E-08  4.2065869634528E-08
 11  10 -5.2252693035196E-08 -1.8423731781649E-08
 11  11  4.6240805736467E-08 -6.9668542043034E-08
 12   0  3.6436967894238E-08  0.0000000000000E+00
 12   1 -5.3587669208192E-08 -4.3163587100214E-08
 12   2  1.4267337095997E-08  3.1093083556009E-08
 12   3  3.9615951283603E-08  2.5063409200897E-08
 12   4 -6.7736670283692E-08  3.8405890605906E-09
 12   5  3.0879106734968E-08  7.5901279330467E-09
 12   6  3.1334008647374E-09  3.8974784317029E-08
 12   7 -1.9044941634320E-08  3.5732805442333E-08
 12   8 -2.5889757115756E-08  1.6936326994120E-08
 12   9  4.1919489963425E-08  2.4964248875423E-08
 12  10 -6.2010070538131E-09  3.0946924871442E-08
 12  11  1.1361953743426E-08 -6.3910578294950E-09
 12  12 -2.4302921673268E-09 -1.1104248894541E-08
 13   0  4.1730252409766E-08  0.0000000000000E+00
 13   1 -5.1441555334014E-08  3.8698568775853E-08
 13   2  5.5308994339435E-08 -6.2696267938467E-08
 13   3 -2.1554768377985E-08  9.7681082822870E-08
 13   4 -3.6544346998286E-09 -1.1747808017921E-08
 13   5  5.8372939592320E-08  6.7227904855748E-08
 13   6 -3.5044638812010E-08 -6.2749533009675E-09
 13   7  3.0198607957321E-09 -7.3239203042084E-09
 13   8 -1.0053602053125E-08 -9.8642922062920E-09
 13   9  2.4772995787164E-08  4.5885992677025E-08
 13  10  4.1103662157814E-08 -3.6838748620945E-08
 13  11 -4.4521661534965E-08 -4.8336293683067E-09
 13  12 -3.1306030156277E-08  8.7939375722094E-08
