string | centralBody |  | m          
numeric | semiMajorAxis |  | mo           
numeric | eccentricity |  | mo            
numeric | inclination |  | mo             
numeric | argumentOfPeriapsis |  | mo     
numeric | longitudeOfAscendingNode |  | mo
numeric | trueAnomaly |  | mo             
numeric | meanAnomaly |  | mo             
numeric | eccentricAnomaly |  | mo        
numeric | semiLatusRectum |  | mo         
numeric | meanMotion |  | mo              
numeric | period |  | mo                  
numeric | radius |  | mo                  
numeric | altitude |  | mo                
numeric | periapsisDistance |  | mo       
numeric | apoapsisDistance |  | mo        
numeric | periapsisAltitude |  | mo       
numeric | apoapsisAltitude |  | mo        
