string | centralBodyGravitationalParameter |  | o         
string | centralBodyAverageRadius |  | o         
number | semiMajorAxis |  | mo           
number | eccentricity |  | mo            
number | inclination |  | mo             
number | argumentOfPeriapsis |  | mo     
number | longitudeOfAscendingNode |  | mo
number | trueAnomaly |  | mo             
number | meanAnomaly |  | mo             
number | eccentricAnomaly |  | mo        
number | semiLatusRectum |  | mo         
number | meanMotion |  | mo              
number | period |  | mo                  
number | radius |  | mo                  
number | altitude |  | mo                
number | periapsisDistance |  | mo       
number | apoapsisDistance |  | mo        
number | periapsisAltitude |  | mo       
number | apoapsisAltitude |  | mo        
